train/ent_coef,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/n_updates,train/critic_loss
0.18073546886444092,1.4742188453674316,0.3029250502586365,0.0003,25000,0.07046803832054138
0.1821296364068985,1.732102870941162,-0.05906699225306511,0.0003,26000,0.09645165503025055
0.18425413966178894,1.5142627954483032,-0.7136006355285645,0.0003,27000,0.06422242522239685
0.1861831694841385,1.524781584739685,0.0721108466386795,0.0003,28000,0.08492708951234818
0.18723978102207184,1.6328372955322266,0.08956819772720337,0.0003,29000,0.10813342779874802
0.18701621890068054,1.312300682067871,0.3113718032836914,0.0003,30000,0.07207316160202026
0.1877463459968567,1.652846336364746,-0.01733679324388504,0.0003,31000,0.08112816512584686
0.189758762717247,1.4182970523834229,-0.14468945562839508,0.0003,32000,0.051181960850954056
0.19065479934215546,1.472618818283081,0.0549449697136879,0.0003,33000,0.07590311020612717
0.19245824217796326,1.3667411804199219,-0.04942088574171066,0.0003,34000,0.10093317925930023
0.19098639488220215,1.5079100131988525,0.30856382846832275,0.0003,35000,0.09326678514480591
0.1934971660375595,1.3773159980773926,0.7796705365180969,0.0003,36000,0.046767499297857285
0.19341692328453064,1.5692036151885986,-0.315854549407959,0.0003,37000,0.07277164608240128
0.19296158850193024,1.3672151565551758,0.043902382254600525,0.0003,38000,0.054504215717315674
0.19445917010307312,1.4502531290054321,-0.009063571691513062,0.0003,39000,0.09328362345695496
0.19464895129203796,1.4865881204605103,-0.14606767892837524,0.0003,40000,0.053718894720077515
0.19635790586471558,1.5342862606048584,0.048623792827129364,0.0003,41000,0.05938972532749176
0.19664570689201355,1.5909297466278076,-0.3786928057670593,0.0003,42000,0.1250963658094406
0.19629821181297302,1.3888556957244873,-0.15914864838123322,0.0003,43000,0.06955491751432419
0.19745421409606934,1.3758337497711182,0.13089768588542938,0.0003,44000,0.043471090495586395
0.1973922699689865,1.2690714597702026,-0.22548557817935944,0.0003,45000,0.1380452811717987
0.19702032208442688,1.4726797342300415,-0.0828244686126709,0.0003,46000,0.08113430440425873
0.19861263036727905,1.5049124956130981,-0.9490418434143066,0.0003,47000,0.09533429145812988
0.1972513496875763,1.245929479598999,0.006838411092758179,0.0003,48000,0.16812068223953247
0.19727617502212524,1.3112175464630127,0.18113760650157928,0.0003,49000,0.08097723126411438
0.20047007501125336,1.5283912420272827,-0.04782409965991974,0.0003,50000,0.08175952732563019
0.20040111243724823,1.4436341524124146,-0.13125404715538025,0.0003,51000,0.06552253663539886
0.19966208934783936,1.4948087930679321,0.3107893466949463,0.0003,52000,0.097958505153656
0.19972485303878784,1.3305771350860596,0.06663265079259872,0.0003,53000,0.08739034831523895
0.1994079202413559,1.40453040599823,-0.19046950340270996,0.0003,54000,0.06493870913982391
0.20031818747520447,1.388730525970459,0.340912401676178,0.0003,55000,0.0602700337767601
0.19955286383628845,1.418091893196106,0.12527737021446228,0.0003,56000,0.2557063102722168
0.20067918300628662,1.3516919612884521,-0.12813055515289307,0.0003,57000,0.09525613486766815
0.20106446743011475,1.3410645723342896,0.30467578768730164,0.0003,58000,0.06781178712844849
0.2016928493976593,1.3684077262878418,0.23451028764247894,0.0003,59000,0.1195213794708252
0.2010984569787979,1.2760651111602783,-0.10540848970413208,0.0003,60000,0.09194738417863846
0.20303378999233246,1.4438353776931763,0.7673879265785217,0.0003,61000,0.06696324050426483
0.20281335711479187,1.3489069938659668,-0.040162064135074615,0.0003,62000,0.07104545831680298
0.20376189053058624,1.4575647115707397,0.1716465950012207,0.0003,63000,0.13075906038284302
0.20416821539402008,1.5484001636505127,-0.31593266129493713,0.0003,64000,0.08833886682987213
0.20503918826580048,1.3045259714126587,0.3034111261367798,0.0003,65000,0.06833238154649734
0.2052638828754425,1.2767326831817627,-0.23083212971687317,0.0003,66000,0.11819916218519211
0.2057352364063263,1.2800675630569458,0.46205395460128784,0.0003,67000,0.05310344323515892
0.2063399702310562,1.2848339080810547,-0.2922869026660919,0.0003,68000,0.06808775663375854
0.2065320909023285,1.2159147262573242,0.19707877933979034,0.0003,69000,0.08276551961898804
0.2074545919895172,1.3596205711364746,0.18557897210121155,0.0003,70000,0.07563532143831253
0.2062387466430664,1.3577733039855957,0.09056107699871063,0.0003,71000,0.17841799557209015
0.2068670243024826,1.4731810092926025,-0.37287047505378723,0.0003,72000,0.0714508444070816
